Nome,Empresa/Autor,Categoria,Classe,Open Source,Licenca,Entrega,Web Scan,API Scan,Cloud/K8s,CLI,CI/CD,Auth avancada,Status,Ano,Link,Observacoes
Burp Suite DAST,PortSwigger,DAST Web/API,Enterprise,N,Comercial,SaaS+Self-hosted,S,S,P,S,S,S,Ativo,"2019 (ex-Enterprise Edition, renomeado 2025)",https://portswigger.net/burp/dast,"Ex-Burp Suite Enterprise Edition; scanner Burp em escala, CI/CD nativo, Kubernetes/Docker deployment"
Burp Suite Professional,PortSwigger,DAST manual/assistido,Enterprise,N,Comercial (US$475/ano),Desktop,S,S,N,P,P,S,Ativo,2006,https://portswigger.net/burp/pro,Padrao de facto em pentest manual; scanner ativo + 350+ extensoes BApp
Burp Suite Community,PortSwigger,Proxy/manual,Enterprise,N,Freeware,Desktop,P,P,N,N,N,P,Ativo,2006,https://portswigger.net/burp/communitydownload,Sem scanner ativo; util para interceptacao
Dastardly,PortSwigger,DAST CI/CD (lightweight),Enterprise,N,Gratuito,Docker/CI,S,N,N,S,S,N,Ativo,2022,https://portswigger.net/burp/dastardly,Free CI scanner; GitHub Action e Jenkins plugin oficiais; ~9 checks
Invicti (Enterprise/Standard),Invicti Security,DAST + IAST,Enterprise,N,Comercial,SaaS+On-prem,S,S,P,S,S,S,Ativo,2009 (ex-Netsparker),https://www.invicti.com/,Proof-Based Scanning; adquiriu Kondukto (2025) para ASPM
Acunetix Premium/360,Invicti Security,DAST,Enterprise,N,Comercial,SaaS+On-prem,S,S,P,S,S,S,Ativo,2005,https://www.acunetix.com/,Mesma familia Invicti; AcuSensor (IAST) para PHP/Java/.NET
Checkmarx DAST,Checkmarx,DAST (plataforma One),Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2023 (parceria/aquisicao ZAP),https://checkmarx.com/product/cx-dast/,Checkmarx assumiu manutencao do ZAP em 2024; DAST integrado ao Checkmarx One
HCL AppScan Standard,HCL Software,DAST desktop,Enterprise,N,Comercial,Desktop,S,S,N,P,P,S,Ativo,1998 (Watchfire/IBM),https://www.hcl-software.com/appscan,Linhagem Watchfire AppScan -> IBM -> HCL
HCL AppScan Enterprise,HCL Software,DAST corporativo,Enterprise,N,Comercial,On-prem,S,S,P,S,S,S,Ativo,2000s,https://www.hcl-software.com/appscan,"Escala corporativa, multiusuario"
HCL AppScan on Cloud (ASoC),HCL Software,DAST SaaS,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2016,https://cloud.appscan.com/,SAST+DAST+IAST+SCA em SaaS
HCL AppScan 360º,HCL Software,AST containerizado,Enterprise,N,Comercial,Self-hosted (K8s),S,S,S,S,S,S,Ativo,2023,https://www.hcl-software.com/appscan,Deploy em Kubernetes/OpenShift no ambiente do cliente
OpenText Fortify WebInspect (DAST),OpenText,DAST,Enterprise,N,Comercial,On-prem,S,S,P,S,S,S,Ativo,2000s (SPI Dynamics),https://www.opentext.com/products/webinspect,Linhagem SPI Dynamics -> HP -> Micro Focus -> OpenText
OpenText Fortify on Demand (Dynamic),OpenText,DAST as a Service,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2010s,https://www.opentext.com/products/fortify-on-demand,Scan gerenciado + triagem humana
Rapid7 InsightAppSec,Rapid7,DAST cloud,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2017,https://www.rapid7.com/products/insightappsec/,Sucessor cloud do AppSpider; Attack Replay
Rapid7 AppSpider,Rapid7,DAST on-prem,Enterprise,N,Comercial,On-prem,S,S,N,S,S,S,Manutencao,2011 (NT OBJECTives),https://www.rapid7.com/products/appspider/,Produto legado; foco migrado para InsightAppSec
Qualys Web Application Scanning (WAS),Qualys,DAST cloud,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2010,https://www.qualys.com/apps/web-app-scanning/,Integra com Qualys VMDR/WAF; scanner appliance para redes internas
Tenable Web App Scanning,Tenable,DAST cloud,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2019 (ex-Tenable.io WAS),https://www.tenable.com/products/tenable-web-app-scanning,Integrado ao Tenable One/Vulnerability Management
Veracode DAST / DAST Essentials,Veracode,DAST,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2006 / 2022 (Crashtest),https://www.veracode.com/products/dynamic-analysis-dast/,DAST Essentials nasceu da aquisicao da Crashtest Security (2022)
Black Duck Continuous Dynamic,Black Duck (ex-Synopsys SIG),DAST gerenciado,Enterprise,N,Comercial,SaaS,S,S,P,P,S,S,Ativo,2001 (WhiteHat Sentinel),https://www.blackduck.com/,Linhagem WhiteHat Sentinel Dynamic -> NTT AppSec -> Synopsys -> Black Duck
Black Duck Polaris (Dynamic),Black Duck,AST unificado,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2019,https://www.blackduck.com/polaris.html,Plataforma SAST/SCA com modulo dinamico
Contrast Assess / Contrast ADR,Contrast Security,IAST + runtime,Enterprise,N,Comercial (free 1 app),Agente/SaaS,S,S,S,S,S,S,Ativo,2014,https://www.contrastsecurity.com/,IAST por instrumentacao; complementa DAST tradicional
"GitLab DAST (browser-based, v5+)",GitLab,DAST em CI,Enterprise,P,Comercial (Ultimate),CI/CD,S,P,S,S,S,S,Ativo,2018,https://docs.gitlab.com/user/application_security/dast/,Analisador proxy-based (baseado em ZAP) foi deprecado; hoje browser-based DAST
GitLab API Security / API Fuzzing,GitLab,DAST de API,Enterprise,N,Comercial (Ultimate),CI/CD,N,S,S,S,S,P,Manutencao,2020,https://docs.gitlab.com/user/application_security/api_security_testing/,Fuzzing coverage-guided foi deprecado; verificar roadmap antes de adotar
Trustwave App Scanner,Trustwave,DAST,Enterprise,N,Comercial,On-prem/Servico,S,P,N,P,P,S,Incerto,2000s (ex-Cenzic Hailstorm),https://www.trustwave.com/,Linhagem Cenzic; hoje majoritariamente servico gerenciado
Outpost24 SWAT / Snapshot,Outpost24,DAST + PTaaS,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2001,https://outpost24.com/,SWAT = DAST continuo com validacao humana
Edgescan,Edgescan,DAST + PTaaS + EASM,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2011,https://www.edgescan.com/,"Fullstack vulnerability intelligence, falso-positivo zero declarado"
AppCheck NG,AppCheck Ltd (UK),DAST + infra scan,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2013,https://appcheck-ng.com/,"Scanner proprio, forte em SPA e autenticacao complexa"
beSECURE,Fortra / Beyond Security,DAST + VA,Enterprise,N,Comercial,SaaS+On-prem,S,P,N,S,S,P,Ativo,1999,https://www.beyondsecurity.com/,Parte do portfolio Fortra
beSTORM,Fortra / Beyond Security,Fuzzer de protocolo (black-box),Enterprise,N,Comercial,On-prem,P,S,N,S,P,N,Ativo,2005,https://www.beyondsecurity.com/solutions/bestorm.html,"Fuzzing de protocolos, IoT/ICS/automotivo"
